orbit	glue	y	z	dy	dz	localnodes
1	0	0	3	28	20	26267792
2	0	0	7	28	28	27662512
3	0	3	7	28	28	27204273
4	0	0	1	1	1	6441949
5	0	0	1	4	4	23765337
6	0	0	9	4	4	23871105
7	0	0	10	4	4	19914665
8	0	0	11	20	20	18976678
9	0	0	11	20	20	22427458
10	0	0	1	6	6	11125832
11	0	0	1	3	3	24309465
12	0	0	1	3	3	23308146
13	0	0	1	3	3	18941625
14	0	0	1	3	3	18473287
15	0	0	11	144	144	22263541
16	0	0	2	4	4	19950276
17	0	0	11	144	144	25399965
18	0	0	3	20	28	24931649
19	0	0	2	144	3	26445655
20	0	0	8	20	4	21874079
21	0	0	1	4	4	20338106
22	0	0	11	144	144	35641935
